,Population Bin %,# Records,# Goods,# Bads,Fraud Saving,Lost Sales,Overall Savings
0,1.0,1665.0,473.0,1192.0,7152000.0,23650.0,7128350.0
1,2.0,1665.0,1618.0,47.0,7434000.0,104550.0,7329450.0
2,3.0,1665.0,1647.0,18.0,7542000.0,186900.0,7355100.0
3,4.0,1665.0,1643.0,22.0,7674000.0,269050.0,7404950.0
4,5.0,1665.0,1649.0,16.0,7770000.0,351500.0,7418500.0
5,6.0,1665.0,1649.0,16.0,7866000.0,433950.0,7432050.0
6,7.0,1665.0,1649.0,16.0,7962000.0,516400.0,7445600.0
7,8.0,1665.0,1655.0,10.0,8022000.0,599150.0,7422850.0
8,9.0,1665.0,1652.0,13.0,8100000.0,681750.0,7418250.0
9,10.0,1665.0,1655.0,10.0,8160000.0,764500.0,7395500.0
10,11.0,1665.0,1658.0,7.0,8202000.0,847400.0,7354600.0
11,12.0,1665.0,1659.0,6.0,8238000.0,930350.0,7307650.0
12,13.0,1664.0,1654.0,10.0,8298000.0,1013050.0,7284950.0
13,14.0,1665.0,1646.0,19.0,8412000.0,1095350.0,7316650.0
14,15.0,1665.0,1652.0,13.0,8490000.0,1177950.0,7312050.0
15,16.0,1665.0,1656.0,9.0,8544000.0,1260750.0,7283250.0
16,17.0,1665.0,1657.0,8.0,8592000.0,1343600.0,7248400.0
17,18.0,1665.0,1653.0,12.0,8664000.0,1426250.0,7237750.0
18,19.0,1665.0,1650.0,15.0,8754000.0,1508750.0,7245250.0
19,20.0,1665.0,1648.0,17.0,8856000.0,1591150.0,7264850.0
20,21.0,1665.0,1653.0,12.0,8928000.0,1673800.0,7254200.0
21,22.0,1665.0,1655.0,10.0,8988000.0,1756550.0,7231450.0
22,23.0,1665.0,1652.0,13.0,9066000.0,1839150.0,7226850.0
23,24.0,1665.0,1652.0,13.0,9144000.0,1921750.0,7222250.0
24,25.0,1665.0,1657.0,8.0,9192000.0,2004600.0,7187400.0
25,26.0,1664.0,1657.0,7.0,9234000.0,2087450.0,7146550.0
26,27.0,1665.0,1657.0,8.0,9282000.0,2170300.0,7111700.0
27,28.0,1665.0,1649.0,16.0,9378000.0,2252750.0,7125250.0
28,29.0,1665.0,1658.0,7.0,9420000.0,2335650.0,7084350.0
29,30.0,1665.0,1652.0,13.0,9498000.0,2418250.0,7079750.0
30,31.0,1665.0,1653.0,12.0,9570000.0,2500900.0,7069100.0
31,32.0,1665.0,1653.0,12.0,9642000.0,2583550.0,7058450.0
32,33.0,1665.0,1652.0,13.0,9720000.0,2666150.0,7053850.0
33,34.0,1665.0,1657.0,8.0,9768000.0,2749000.0,7019000.0
34,35.0,1665.0,1663.0,2.0,9780000.0,2832150.0,6947850.0
35,36.0,1665.0,1653.0,12.0,9852000.0,2914800.0,6937200.0
36,37.0,1665.0,1657.0,8.0,9900000.0,2997650.0,6902350.0
37,38.0,1664.0,1648.0,16.0,9996000.0,3080050.0,6915950.0
38,39.0,1665.0,1652.0,13.0,10074000.0,3162650.0,6911350.0
39,40.0,1665.0,1652.0,13.0,10152000.0,3245250.0,6906750.0
40,41.0,1665.0,1658.0,7.0,10194000.0,3328150.0,6865850.0
41,42.0,1665.0,1651.0,14.0,10278000.0,3410700.0,6867300.0
42,43.0,1665.0,1656.0,9.0,10332000.0,3493500.0,6838500.0
43,44.0,1665.0,1652.0,13.0,10410000.0,3576100.0,6833900.0
44,45.0,1665.0,1648.0,17.0,10512000.0,3658500.0,6853500.0
45,46.0,1665.0,1660.0,5.0,10542000.0,3741500.0,6800500.0
46,47.0,1665.0,1653.0,12.0,10614000.0,3824150.0,6789850.0
47,48.0,1665.0,1659.0,6.0,10650000.0,3907100.0,6742900.0
48,49.0,1665.0,1651.0,14.0,10734000.0,3989650.0,6744350.0
49,50.0,1665.0,1659.0,6.0,10770000.0,4072600.0,6697400.0
