,Population Bin %,# Records,# Goods,# Bads,% Goods,% Bads,Total # Records,Cumulative Good,Cumulative Bad,% Good,% Bad (FDR),KS,FPR
0,1.0,5835.0,1516.0,4319.0,0.2598114824335904,0.7401885175664096,5835.0,1516.0,4319.0,0.0026362237312303827,0.5147794994040524,0.512143275672822,0.3510071775874045
1,2.0,5835.0,5681.0,154.0,0.9736075407026564,0.026392459297343615,11670.0,7197.0,4473.0,0.012515106987905715,0.533134684147795,0.5206195771598893,1.6089872568745809
2,3.0,5834.0,5779.0,55.0,0.9905725059993143,0.009427494000685635,17504.0,12976.0,4528.0,0.02256440576282681,0.5396901072705602,0.5171257015077334,2.8657243816254416
3,4.0,5835.0,5770.0,65.0,0.988860325621251,0.011139674378748929,23339.0,18746.0,4593.0,0.03259805413301105,0.5474374255065554,0.5148393713735443,4.0814282603962555
4,5.0,5834.0,5771.0,63.0,0.9892012341446692,0.01079876585533082,29173.0,24517.0,4656.0,0.04263344143705494,0.5549463647199047,0.5123129232828497,5.265678694158075
5,6.0,5835.0,5781.0,54.0,0.990745501285347,0.009254498714652956,35008.0,30298.0,4710.0,0.05268621807969534,0.5613825983313468,0.5086963802516515,6.432696390658174
6,7.0,5834.0,5773.0,61.0,0.9895440521083305,0.010455947891669523,40842.0,36071.0,4771.0,0.06272508325145854,0.56865315852205,0.5059280752705915,7.560469503248795
7,8.0,5835.0,5797.0,38.0,0.9934875749785775,0.006512425021422451,46677.0,41868.0,4809.0,0.07280568283585334,0.5731823599523242,0.5003766771164709,8.70617592014972
8,9.0,5834.0,5793.0,41.0,0.9929722317449434,0.007027768255056565,52511.0,47661.0,4850.0,0.08287932668480955,0.5780691299165673,0.49518980323175776,9.82701030927835
9,10.0,5835.0,5797.0,38.0,0.9934875749785775,0.006512425021422451,58346.0,53458.0,4888.0,0.09295992626920435,0.5825983313468415,0.4896384050776371,10.936579378068739
10,11.0,5834.0,5776.0,58.0,0.9900582790538224,0.00994172094617758,64180.0,59234.0,4946.0,0.10300400824254649,0.5895113230035757,0.48650731476102915,11.976142337242216
11,12.0,5835.0,5789.0,46.0,0.9921165381319623,0.007883461868037704,70015.0,65023.0,4992.0,0.1130706963560641,0.5949940405244338,0.48192334416836974,13.025440705128204
12,13.0,5835.0,5799.0,36.0,0.9938303341902314,0.006169665809768638,75850.0,70822.0,5028.0,0.1231547738081782,0.599284862932062,0.47613008912388377,14.08552108194113
13,14.0,5834.0,5805.0,29.0,0.9950291395269112,0.00497086047308879,81684.0,76627.0,5057.0,0.13324928486345022,0.6027413587604291,0.4694920738969789,15.152659679651968
14,15.0,5835.0,5799.0,36.0,0.9938303341902314,0.006169665809768638,87519.0,82426.0,5093.0,0.14333336231556432,0.6070321811680572,0.4636988188524929,16.184174356960533
15,16.0,5834.0,5790.0,44.0,0.9924580047994515,0.0075419952005485085,93353.0,88216.0,5137.0,0.15340178936294158,0.6122765196662694,0.4588747303033278,17.172668872883005
16,17.0,5835.0,5802.0,33.0,0.9943444730077121,0.005655526992287918,99188.0,94018.0,5170.0,0.16349108361663464,0.6162097735399285,0.4527186899232938,18.185299806576403
17,18.0,5834.0,5796.0,38.0,0.9934864586904354,0.006513541309564621,105022.0,99814.0,5208.0,0.1735699442671698,0.6207389749702026,0.4471690307030328,19.16551459293395
18,19.0,5835.0,5809.0,26.0,0.9955441302485004,0.004455869751499571,110857.0,105623.0,5234.0,0.1836714110578804,0.6238379022646007,0.44016649120672025,20.180168131448223
19,20.0,5834.0,5799.0,35.0,0.9940006856359274,0.005999314364072678,116691.0,111422.0,5269.0,0.19375548850999452,0.6280095351609059,0.43425404665091133,21.146707155057886
