,Population Bin %,# Records,# Goods,# Bads,% Goods,% Bads,Total # Records,Cumulative Good,Cumulative Bad,% Good,% Bad (FDR),KS,FPR
0,1.0,1665.0,473.0,1192.0,0.2840840840840841,0.715915915915916,1665.0,473.0,1192.0,0.0028822658387515463,0.49958088851634536,0.4966986226775938,0.39681208053691275
1,2.0,1665.0,1618.0,47.0,0.9717717717717718,0.02822822822822823,3330.0,2091.0,1239.0,0.012741686826277977,0.519279128248114,0.506537441421836,1.6876513317191284
2,3.0,1665.0,1647.0,18.0,0.9891891891891892,0.010810810810810811,4995.0,3738.0,1257.0,0.02277782178700482,0.5268231349538978,0.5040453131668929,2.9737470167064437
3,4.0,1665.0,1643.0,22.0,0.9867867867867868,0.013213213213213212,6660.0,5381.0,1279.0,0.03278958240660057,0.5360435875943,0.5032540051876995,4.207193119624707
4,5.0,1665.0,1649.0,16.0,0.9903903903903903,0.00960960960960961,8325.0,7030.0,1295.0,0.04283790453789296,0.5427493713327746,0.49991146679488163,5.428571428571429
5,6.0,1665.0,1649.0,16.0,0.9903903903903903,0.00960960960960961,9990.0,8679.0,1311.0,0.05288622666918535,0.549455155071249,0.4965689284020636,6.620137299771167
6,7.0,1665.0,1649.0,16.0,0.9903903903903903,0.00960960960960961,11655.0,10328.0,1327.0,0.06293454880047773,0.5561609388097234,0.4932263900092457,7.782969103240392
7,8.0,1665.0,1655.0,10.0,0.993993993993994,0.006006006006006006,13320.0,11983.0,1337.0,0.07301943244346676,0.5603520536462699,0.4873326212028032,8.962602842183994
8,9.0,1665.0,1652.0,13.0,0.9921921921921922,0.007807807807807808,14985.0,13635.0,1350.0,0.08308603533060747,0.5658005029337804,0.4827144676031729,10.1
9,10.0,1665.0,1655.0,10.0,0.993993993993994,0.006006006006006006,16650.0,15290.0,1360.0,0.0931709189735965,0.5699916177703269,0.4768206987967304,11.242647058823529
10,11.0,1665.0,1658.0,7.0,0.9957957957957958,0.004204204204204204,18315.0,16948.0,1367.0,0.10327408337243384,0.5729253981559095,0.46965131478347566,12.397951719092903
11,12.0,1665.0,1659.0,6.0,0.9963963963963964,0.0036036036036036037,19980.0,18607.0,1373.0,0.11338334135655395,0.5754400670578373,0.4620567257012834,13.552075746540423
12,13.0,1664.0,1654.0,10.0,0.9939903846153846,0.006009615384615385,21644.0,20261.0,1383.0,0.12346213141426021,0.5796311818943839,0.4561690504801237,14.65003615328995
13,14.0,1665.0,1646.0,19.0,0.9885885885885886,0.011411411411411412,23309.0,21907.0,1402.0,0.13349217278970427,0.5875943000838223,0.45410212729411803,15.625534950071327
14,15.0,1665.0,1652.0,13.0,0.9921921921921922,0.007807807807807808,24974.0,23559.0,1415.0,0.143558775676845,0.5930427493713327,0.4494839736944877,16.649469964664313
15,16.0,1665.0,1656.0,9.0,0.9945945945945946,0.005405405405405406,26639.0,25215.0,1424.0,0.1536497529051168,0.5968147527242247,0.4431649998191079,17.707162921348313
16,17.0,1665.0,1657.0,8.0,0.9951951951951952,0.004804804804804805,28304.0,26872.0,1432.0,0.16374682371867136,0.6001676445934618,0.4364208208747905,18.76536312849162
17,18.0,1665.0,1653.0,12.0,0.9927927927927928,0.007207207207207207,29969.0,28525.0,1444.0,0.17381952019109484,0.6051969823973177,0.43137746220622286,19.75415512465374
18,19.0,1665.0,1650.0,15.0,0.990990990990991,0.009009009009009009,31634.0,30175.0,1459.0,0.18387393590766998,0.6114836546521375,0.4276097187444675,20.681973954763535
19,20.0,1665.0,1648.0,17.0,0.9897897897897898,0.01021021021021021,33299.0,31823.0,1476.0,0.19391616445367962,0.6186085498742665,0.42469238542058685,21.56029810298103
